"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2022, Alberta",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022
4817,4817840,Tall Cree 173A,IRI,231,232,234,236,236,234,235
4817,4817841,Beaver Ranch 163,IRI,10,10,10,10,10,10,10
4817,4817842,Boyer 164,IRI,224,226,228,229,227,228,227
4817,4817843,Child Lake 164A,IRI,221,225,227,227,227,228,226
4817,4817845,Hay Lake 209,IRI,913,905,893,881,870,859,843
4817,4817848,Bushe River 207,IRI,517,517,523,525,533,530,525
4817,4817849,Upper Hay River 212,IRI,303,303,297,296,294,297,293
4817,4817850,Woodland Cree 227,IRI,15,15,15,15,15,15,15
4817,4817853,Little Buffalo,S-É,466,467,469,478,489,492,483
4817,4817854,Carcajou 187,S-É,0,0,0,0,0,0,0
4817,4817855,Desmarais1 7,S-É,109,109,102,100,99,99,96
4817,4817856,Woodland Cree 2261 7,IRI,745,713,702,696,700,709,713
4817,4817857,Woodland Cree 228,IRI,154,153,155,157,160,162,162
4817,4817859,Fort Vermilion 173B,IRI,99,99,99,99,99,99,98
4817,4817860,Loon Lake 2351 7,IRI,574,555,562,564,575,578,566
4817,4817865,Kapawe'no 229,IRI,5,5,5,5,5,5,5
4818,4818002,Fox Creek,T,2014,2009,1958,1908,1826,1751,1735
4818,4818005,Grande Cache3 7,T,3640,3437,3393,--,--,--,--
4818,4818015,Greenview No. 163 7,MD,5699,5763,5866,9354,9421,9383,9439
4818,4818018,Valleyview,T,1904,1864,1882,1872,1855,1864,1849
4818,4818816,Sturgeon Lake 154,IRI,1482,1499,1526,1527,1532,1520,1524
4818,4818818,Sturgeon Lake 154A,IRI,55,55,55,55,55,55,55
4819,4819006,Grande Prairie County No. 16 7,MD,23099,23351,23714,24186,24491,24734,25928
4819,4819008,Hythe6 7,VL,843,754,762,753,721,712,--
4819,4819009,Beaverlodge,T,2521,2546,2520,2513,2483,2463,2506
4819,4819011,Wembley,T,1559,1536,1580,1622,1622,1613,1665
4819,4819012,Grande Prairie,CY,65139,65224,67173,67906,68149,67583,67669
4819,4819014,Sexsmith,T,2695,2705,2797,2862,2848,2830,2857
4819,4819038,Peace River,T,7038,6850,6798,6710,6730,6701,6662
4819,4819041,Smoky River No. 1301 7,MD,2076,2058,2051,2041,2017,2010,1970
4819,4819042,McLennan,T,712,696,685,661,649,637,628
4819,4819044,Donnelly1 7,VL,352,359,342,343,349,343,359
4819,4819046,Falher,T,1067,1074,1068,1090,1098,1114,1079
4819,4819048,Girouxville,VL,224,228,229,228,228,248,239
4819,4819049,Birch Hills County,MD,1580,1579,1565,1568,1554,1549,1558
4819,4819054,Spirit River No. 133,MD,714,743,782,785,799,800,796
4819,4819056,Rycroft,VL,624,646,604,596,596,609,628
4819,4819058,Spirit River,T,1017,1029,1021,997,954,919,887
4819,4819059,Saddle Hills County,MD,2271,2260,2238,2236,2237,2260,2312
4819,4819066,Fairview No. 136,MD,1637,1620,1590,1585,1589,1566,1554
4819,4819068,Fairview,T,3064,3009,2955,2926,2899,2768,2733
4819,4819071,Peace No. 1351 7,MD,1791,1810,1819,1819,1817,1815,1807
4819,4819072,Berwyn,VL,550,550,527,535,541,541,552
4819,4819074,Grimshaw,T,2792,2751,2760,2706,2656,2625,2646
4819,4819815,Horse Lakes 152B,IRI,482,491,493,485,489,491,492
4819,4819826,Duncan's 151A,IRI,154,153,154,151,149,150,150
,,,,,,,,,,
,,,,,,,,,,
Sources:," Alberta Office of Statistics and Information, Demography and Social Statistics",,,,,,,,,
,"Last Updated: January 11, 2023",,,,,,,,,
,,,,,,,,,,
Notes:,Postcensal estimates are based on the 2016 census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated Indian reserves) and on the estimated population growth that occurred since.,,,,,,,,,
,All estimates subject to revision.,,,,,,,,,
,"Estimates refer to municipal boundaries as of January 1st of the year referenced. As such, some estimates reflect changes to geographic boundaries as well as population change. Two types of boundary adjustments are accounted for: dissolutions/amalglamations, where one municipality ceases to exist as a municipality and is amalglamated into the surrounding CSD, and annexations or boundary corrections, where part of a CSD is allocated elsewhere.",,,,,,,,,
,Any discrepancies between Statistics Canada's estimates and the Alberta Office of Statistics and Information are due to different boundaries - see below.,,,,,,,,,
,"1 Boundary adjustment as of January 1, 2017",,,,,,,,,
,"2 Boundary adjustment as of January 1, 2018",,,,,,,,,
,"3 Boundary adjustment as of January 1, 2019",,,,,,,,,
,"4 Boundary adjustment as of January 1, 2020",,,,,,,,,
,"5 Boundary adjustment as of January 1, 2021",,,,,,,,,
,"6 Boundary adjustment as of January 1, 2022",,,,,,,,,
,"7 Due to boundary change in year stated, annual growth against previous year in this region should be used with caution",,,,,,,,,
,,,,,,,,,,
,"Caution: Population estimates for CSDs sometimes consist of small numbers. Estimates with such a high degree of detail may show a level of uncertainty that is more important. Thus, estimates for smaller numbers should be interpreted with caution.",,,,,,,,,
