"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2022, Alberta",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022
4806,4806016,Calgary,CY,1278982,1292550,1311699,1337655,1361587,1371575,1413800
4806,4806017,Chestermere,CY,20625,21304,21645,22105,22556,23170,24649
4806,4806019,Cochrane,T,26866,28294,29808,31189,32333,33375,34724
4806,4806021,Airdrie,CY,64003,67127,69959,72673,74922,76994,80222
4806,4806022,Irricana,T,1254,1261,1239,1217,1211,1218,1259
4806,4806024,Beiseker,VL,835,821,803,817,821,828,843
4806,4806026,Crossfield,T,3066,3139,3240,3322,3432,3558,3674
4806,4806028,Mountain View County6 7,MD,13380,13454,13532,13740,13806,13959,13877
4806,4806029,Carstairs,T,4208,4386,4535,4668,4767,4900,4988
4806,4806031,Cremona,VL,456,446,454,426,429,418,452
4806,4806032,Didsbury,T,5390,5397,5410,5335,5263,5222,5092
4806,4806034,Olds6 7,T,9422,9438,9467,9538,9558,9581,9567
4806,4806036,Sundre,T,2797,2786,2758,2697,2612,2616,2544
4806,4806803,Eden Valley 216,IRI,617,628,642,647,658,644,645
4806,4806804,Tsuu T'ina Nation 145 (Sarcee 145),IRI,2331,2388,2366,2385,2609,2710,2719
4807,4807001,Provost No. 52,MD,2250,2207,2165,2184,2183,2174,2183
4807,4807002,Provost,T,2046,2067,2004,1967,1926,1898,1870
4807,4807004,Czar,VL,207,205,205,200,210,224,230
4807,4807006,Hughenden,VL,249,245,245,240,235,241,230
4807,4807008,Amisk,VL,209,204,207,211,213,206,198
4807,4807011,Paintearth County No. 18,MD,2158,2111,2108,2101,2086,2094,2138
4807,4807012,Coronation,T,950,928,931,905,905,891,905
4807,4807014,Castor,T,944,904,885,875,874,883,881
4807,4807016,Halkirk,VL,114,110,115,118,119,119,122
4807,4807019,Stettler County No. 62 5 7,MD,5430,5506,5774,5746,5718,5786,5777
4807,4807021,Big Valley,VL,350,348,347,351,378,360,341
4807,4807022,Gadsby5 7,VL,41,47,61,54,56,--,--
4807,4807024,Botha2 7,VL,209,216,--,--,--,--,--
4807,4807026,Stettler,T,6102,5971,5882,5882,5851,5786,5752
4807,4807027,White Sands,SV,121,120,120,121,122,133,135
4807,4807028,Rochon Sands,SV,87,87,85,86,84,93,79
4807,4807029,Donalda,VL,222,207,210,204,206,231,207
4807,4807031,Flagstaff County1 4 7,MD,3810,3814,3819,3797,3735,3647,3614
4807,4807032,Alliance1 7,VL,155,169,162,161,162,139,150
4807,4807036,Forestburg4 7,VL,892,912,881,891,871,916,928
4807,4807038,Heisler,VL,163,174,173,166,162,166,157
4807,4807039,Daysland,T,835,826,816,806,845,808,810
4807,4807042,Killam,T,1011,944,927,897,881,867,844
4807,4807044,Sedgewick,T,831,837,837,826,831,822,816
4807,4807046,Lougheed,VL,260,254,267,263,267,288,281
4807,4807048,Hardisty,T,564,546,542,507,501,456,465
4807,4807049,Wainwright No. 613 7,MD,4577,4578,4507,4484,4437,4456,4453
4807,4807051,Chauvin,VL,342,332,303,285,278,288,285
4807,4807052,Edgerton,VL,396,392,385,384,369,377,387
4807,4807054,Wainwright3 7,T,6452,6377,6366,6437,6389,6259,6234
4807,4807056,Irma,VL,533,526,532,534,550,526,536
4808,4808001,Red Deer County3 7,MD,20019,20377,20887,21123,21263,21436,21930
4808,4808002,Elnora,VL,301,293,309,303,292,285,291
4808,4808004,Delburne,VL,914,910,893,893,898,890,889
4808,4808005,Jarvis Bay,SV,217,207,207,208,223,214,219
4808,4808006,Bowden,T,1273,1277,1282,1315,1318,1282,1271
4808,4808008,Innisfail,T,8013,7871,7807,7802,7747,7671,7672
4808,4808009,Penhold3 7,T,3404,3527,3642,3725,3821,3868,3928
4808,4808011,Red Deer,CY,103314,103377,104070,104713,104820,104677,105883
4808,4808012,Sylvan Lake,T,15289,15595,15948,16162,16209,16406,16802
4808,4808013,Norglenwold,SV,281,281,272,275,276,282,275
4808,4808022,Lacombe County,MD,10485,10544,10673,10661,10719,10829,10807
4808,4808023,Birchcliff,SV,119,123,133,140,145,153,145
4808,4808024,Eckville,T,1154,1157,1132,1125,1148,1157,1158
4808,4808025,Half Moon Bay,SV,42,41,45,46,41,37,35
4808,4808026,Bentley,T,1108,1070,1069,1071,1063,1032,1037
4808,4808027,Sunbreaker Cove,SV,82,86,84,86,91,95,94
4808,4808028,Gull Lake,SV,179,186,194,201,198,211,202
4808,4808029,Blackfalds,T,9928,10390,10810,11092,11340,11557,11962
4808,4808031,Lacombe,CY,13365,13395,13580,13724,13910,13944,14229
4808,4808032,Clive,VL,735,734,758,762,762,781,823
4808,4808034,Alix,VL,751,752,755,789,790,818,835
4808,4808038,Ponoka County,MD,10052,10200,10246,10316,10294,10381,10372
4808,4808039,Ponoka,T,7403,7368,7329,7373,7372,7339,7518
4808,4808042,Parkland Beach,SV,155,153,150,143,150,155,154
4808,4808044,Rimbey,T,2622,2662,2606,2638,2667,2664,2625
4808,4808811,Samson 137,IRI,3473,3518,3536,3560,3587,3590,3577
4808,4808812,Samson 137A,IRI,27,27,26,27,27,27,27
4808,4808813,Montana 139,IRI,648,654,664,674,682,679,681
4809,4809002,Clearwater County,MD,12217,12249,12284,12240,12139,12185,12099
4809,4809005,Burnstick Lake,SV,16,16,16,16,16,17,25
4809,4809010,Caroline,VL,523,515,481,483,464,448,464
4809,4809015,Rocky Mountain House,T,6792,6656,6539,6422,6321,6353,6603
4809,4809806,O'Chiese 203,IRI,813,821,815,838,849,857,865
4809,4809809,Sunchild 202,IRI,770,768,779,787,789,802,792
4809,4809810,Big Horn 144A,IRI,244,245,252,252,255,260,259
4810,4810001,Camrose County4 7,MD,8660,8698,8792,8773,8998,9102,9208
4810,4810002,Bashaw,T,844,797,804,795,777,757,778
4810,4810003,Rosalind,VL,191,177,179,169,182,177,184
4810,4810004,Ferintosh4 7,VL,207,218,227,223,--,--,--
4810,4810006,Edberg,VL,154,149,146,144,147,138,152
4810,4810009,Bawlf,VL,436,419,428,435,431,425,425
4810,4810011,Camrose,CY,19223,19277,19373,19580,19527,19612,19847
4810,4810012,Bittern Lake,VL,226,215,222,221,217,219,234
4810,4810014,Hay Lakes,VL,509,504,518,527,524,519,525
4810,4810016,Beaver County,MD,6030,6045,6013,6011,5961,5933,6050
4810,4810018,Tofield,T,2126,2047,1976,1946,1928,1919,1942
4810,4810019,Ryley,VL,494,505,503,503,473,463,460
4810,4810021,Holden,VL,355,336,353,350,366,375,371
4810,4810022,Viking,T,1101,1055,1019,998,975,951,929
4810,4810026,Minburn County No. 27,MD,3255,3243,3237,3153,3116,3085,3080
4810,4810028,Vegreville,T,5816,5794,5796,5699,5698,5692,5629
4810,4810031,Innisfree,VL,196,198,196,199,188,211,205
4810,4810034,Mannville,VL,844,792,791,782,775,768,779
4810,4810036,Vermilion River County5 6 7,MD,8439,8437,8368,8335,8316,8520,8559
4810,4810038,Paradise Valley,VL,184,195,198,205,213,206,222
4810,4810039,Lloydminster (Part)6 7,CY,20156,20244,20352,20528,20463,20288,20574
4810,4810041,Kitscoty,VL,951,967,936,892,869,850,868
4810,4810042,Vermilion,T,4166,4084,4059,4088,4144,4048,3993
4810,4810044,Marwayne,VL,583,544,549,511,501,469,450
4810,4810046,Dewberry5 7,VL,191,198,205,187,185,--,--
4810,4810048,Two Hills County No. 212 7,MD,3403,3402,3690,3683,3677,3678,3776
4810,4810051,Myrnam,VL,345,354,345,345,336,308,318
4810,4810052,Two Hills,T,1382,1336,1365,1422,1386,1375,1446
4810,4810056,Willingdon2 7,VL,327,320,--,--,--,--,--
4810,4810058,Lamont County2 7,MD,3936,3917,3868,3877,3883,3886,3890
4810,4810059,Andrew,VL,432,429,426,420,420,406,412
4810,4810061,Mundare,T,868,854,863,856,861,885,914
4810,4810062,Chipman,VL,280,295,282,263,266,259,288
4810,4810064,Lamont,T,1808,1744,1723,1725,1739,1705,1648
4810,4810066,Bruderheim2 7,T,1338,1346,1354,1326,1324,1315,1384
4810,4810068,Improvement District No. 13 Elk Island,ID,0,0,1,1,1,5,5
4810,4810805,Makaoo (Part) 120,IRI,214,214,214,214,215,215,215
4811,4811001,Wetaskiwin County No. 10 1 2 7,MD,11422,11590,11574,11594,11576,11662,11684
4811,4811002,Wetaskiwin,CY,12954,12821,12717,12656,12464,12433,12317
4811,4811003,Argentia Beach,SV,27,27,26,26,26,26,23
4811,4811004,Grandview1 7,SV,115,114,114,118,122,126,131
4811,4811005,Poplar Bay,SV,104,106,104,105,106,106,110
4811,4811006,Crystal Springs,SV,51,55,55,62,55,53,53
4811,4811007,Norris Beach,SV,38,42,46,48,50,51,47
4811,4811008,Ma-Me-O Beach,SV,111,102,115,114,103,88,73
4811,4811009,Silver Beach,SV,65,65,68,68,70,73,71
4811,4811011,Millet2 5 7,T,1984,1929,1922,1917,1882,1861,1843
4811,4811012,Leduc County1 3 7,MD,14118,14298,14447,14013,14037,14220,14547
4811,4811013,Beaumont1 7,CY,18043,18694,19322,19921,20503,21180,21918
4811,4811016,Leduc,CY,30963,31786,32474,33152,33981,34540,35398
4811,4811018,Devon,T,6734,6709,6663,6610,6683,6633,6689
4811,4811019,Calmar,T,2311,2382,2403,2422,2438,2465,2484
4811,4811020,Sundance Beach,SV,74,74,79,79,83,84,82
4811,4811021,Thorsby,T,1017,973,999,997,981,979,972
4811,4811022,Itaska Beach,SV,23,23,23,23,23,20,19
4811,4811023,Golden Days,SV,163,169,171,170,174,181,176
4811,4811024,Warburg,VL,785,791,789,800,798,784,768
4811,4811026,Breton,VL,588,570,561,522,518,510,506
4811,4811031,Drayton Valley,T,7426,7234,7209,7106,7018,6863,6802
4811,4811032,Brazeau County,MD,7988,8022,8019,7973,7950,7955,7962
4811,4811034,Parkland County5 7,MD,32830,33320,33402,33555,33464,34178,34487
4811,4811038,Seba Beach,SV,173,171,177,158,152,147,147
4811,4811039,Betula Beach,SV,16,16,14,17,15,15,15
4811,4811041,Point Alison,SV,10,10,10,10,10,10,10
4811,4811042,Lakeview,SV,30,30,30,31,33,36,35
4811,4811044,Kapasiwin,SV,10,10,10,10,11,12,13
4811,4811045,Wabamun5 7,VL,694,697,679,663,666,--,--
4811,4811046,Spring Lake,VL,724,717,723,743,737,747,772
4811,4811048,Stony Plain,T,17672,17992,18168,18322,18285,18373,18567
4811,4811049,Spruce Grove5 7,CY,35314,36527,37589,38266,39084,39629,40842
4811,4811052,Strathcona County4 7,SM,100652,101481,101950,102474,102775,103136,104330
